ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  2      25          26.32          42.76         2.25         4.58         3.01    0.03
  4      50           1.77           6.52         0.00         0.00         0.00    0.00
  6      75           0.08           2.32        90.14        67.61        77.26    0.77
  9     100           0.06           1.13        92.14        90.85        91.49    0.91
 11     125           0.03           0.59        96.50        97.18        96.84    0.97
 13     150           0.02           0.38        96.80        95.77        96.28    0.96
 15     175           0.01           0.27        95.44        95.77        95.61    0.96
 18     200           0.01           0.21        93.96        98.59        96.22    0.96
 20     225           0.01           0.16        92.36        97.89        95.04    0.95
 22     250           0.01           0.17        99.29        98.59        98.94    0.99
