# ============================= Training pipeline =============================
# ℹ Pipeline: ['transformer', 'relation_extractor']
# ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
 16     100          51.67          51.56        95.02        94.01        94.51    0.95
 33     200           0.05           0.89        96.82        96.48        96.65    0.97
 50     300           0.04           0.46        95.85        97.54        96.68    0.97
 66     400           0.01           0.20        95.56        98.59        97.05    0.97
 83     500           0.00           0.10        93.07        99.30        96.08    0.96
100     600           0.00           0.04        92.76        99.30        95.92    0.96
116     700           0.00           0.02        93.07        99.30        96.08    0.96
133     800           0.00           0.02        92.76        99.30        95.92    0.96
150     900           0.00           0.01        92.76        99.30        95.92    0.96
166    1000           0.00           0.01        92.76        99.30        95.92    0.96
