ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  4      25          48.41          42.44         2.04         3.87         2.68    0.03
  8      50           3.05           6.25         0.00         0.00         0.00    0.00
 12      75           0.14           1.98        93.36        69.37        79.60    0.80
 16     100           0.07           0.89        95.70        94.01        94.85    0.95
 20     125           0.02           0.36        97.89        97.89        97.89    0.98
 25     150           0.01           0.22        99.29        98.59        98.94    0.99
 29     175           0.01           0.18        94.92        98.59        96.72    0.97
 33     200           0.01           0.13        97.90        98.59        98.25    0.98
 37     225           0.01           0.11        95.89        98.59        97.22    0.97
 41     250           0.01           0.11        95.89        98.59        97.22    0.97
