 Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  1      25          13.11          43.35         1.95         4.93         2.79    0.03
  2      50           0.93           7.06         0.00         0.00         0.00    0.00
  3      75           0.03           2.48        93.90        27.11        42.08    0.42
  4     100           0.04           1.63        91.29        77.46        83.81    0.84
  5     125           0.03           1.12        94.51        84.86        89.42    0.89
  6     150           0.03           0.78        96.56        89.08        92.67    0.93
  7     175           0.02           0.45        99.28        96.48        97.86    0.98
  9     200           0.00           0.25        92.93        97.18        95.01    0.95
 10     225           0.00           0.24        96.53        97.89        97.20    0.97
 11     250           0.00           0.19        93.02        98.59        95.73    0.96
